lat,lon,Tmin,Tmax,Tmean,RHmin,RHmax,uz,n,pressure,doy,z
44.6406,7.6075,19.66,26.83,23.45375,48,94,1.95,0,101.6416667,167,238
44.6406,7.6075,19.64,27.73,23.74791667,51,94,1.928333333,0,101.725,168,238
44.6406,7.6075,20.17,28.36,24.12083333,48,100,2.0575,0,101.7541667,169,238
44.6406,7.6075,19.36,29.14,24.29291667,44,94,1.6075,0,101.6625,170,238
44.6406,7.6075,21.31,26.66,23.05583333,57,94,2.16375,0,101.2125,171,238
44.6406,7.6075,19.96,27.3,22.89208333,47,100,2.400416667,1,100.95,172,238
44.6406,7.6075,19.98,27.6,22.64833333,54,94,2.7225,0,101.1375,173,238
44.6406,7.6075,17.08,25.05,20.84291667,47,94,2.206666667,0,101.5625,174,238
44.6406,7.6075,16.36,24.99,21.06166667,42,94,2.421666667,2,101.6458333,175,238
44.6406,7.6075,17.2,26.44,21.75708333,47,100,1.77875,2,101.5583333,176,238
44.6406,7.6075,15.53,26.37,21.19291667,44,94,1.628333333,0,101.625,177,238
44.6406,7.6075,16.67,27.41,22.495,47,94,2.057083333,0,101.6125,178,238
44.6406,7.6075,17.91,27.97,23.39791667,42,100,2.293333333,1,101.5416667,179,238
44.6406,7.6075,18.63,27.16,22.91333333,42,94,2.187083333,0,101.0916667,180,238
44.6406,7.6075,16.21,26.6,22.11,28,94,2.187083333,6,101.0208333,181,238
44.6406,7.6075,15.67,28.1,22.58458333,26,100,2.079166667,8,101.2416667,182,238
44.6406,7.6075,16.66,28.93,23.14833333,34,88,2.229166667,1,101.45,183,238
44.6406,7.6075,18.76,26.54,22.38125,54,100,2.18625,0,101.4583333,184,238
44.6406,7.6075,18.74,23.75,20.83333333,50,100,1.413333333,0,101.1333333,185,238
44.6406,7.6075,17.34,29.26,23.24833333,48,100,1.585416667,8,101.2083333,186,238
44.6406,7.6075,19.02,27.47,23.56958333,50,88,2.379583333,0,101.3791667,187,238
44.6406,7.6075,19.35,26.34,22.58541667,57,100,1.993333333,0,101.4583333,188,238
44.6406,7.6075,17.24,25.73,21.08333333,69,100,1.810833333,0,101.6416667,189,238
44.6406,7.6075,14.83,26.9,21.25458333,36,94,1.843333333,11,101.8041667,190,238
44.6406,7.6075,16.54,27.69,22.25166667,39,94,1.95,0,101.6041667,191,238
44.6406,7.6075,17.15,28.85,23.11125,39,88,1.929166667,8,101.3833333,192,238
44.6406,7.6075,19.97,26.26,23.15541667,54,94,1.950416667,0,101.2833333,193,238
44.6406,7.6075,15.26,22.35,19.2275,57,100,2.6575,0,100.6916667,194,238
44.6406,7.6075,14.22,25.12,20.0625,38,94,1.867083333,3,101.1375,195,238
44.6406,7.6075,16.44,23.02,20.10208333,60,94,1.49875,0,101.3875,196,238
44.6406,7.6075,16.7,24.55,20.34208333,53,94,1.885833333,0,101.45,197,238
44.6406,7.6075,16.53,29.75,23.36458333,25,94,2.035833333,0,101.4208333,198,238
44.6406,7.6075,19.45,31.6,26.02791667,27,82,1.628333333,5,101.2,199,238
44.6406,7.6075,20.37,30.98,25.17041667,48,94,2.015416667,0,101.3166667,200,238
44.6406,7.6075,19.17,30.34,25.24125,42,94,1.88625,5,101.45,201,238
44.6406,7.6075,20.25,28.88,24.47916667,54,94,1.821666667,0,101.7875,202,238
44.6406,7.6075,19.59,29.5,24.61833333,51,94,2.014583333,2,101.7958333,203,238
44.6406,7.6075,20.75,28.65,24.85416667,61,94,1.800416667,0,101.5708333,204,238
44.6406,7.6075,22.35,29.42,25.25125,51,94,2.314166667,0,101.2083333,205,238
44.6406,7.6075,19.93,26.68,22.98916667,58,100,2.40125,0,100.9583333,206,238
44.6406,7.6075,19.43,24.64,21.70625,61,94,1.714583333,0,101.3458333,207,238
